%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2281 393974   16.261265238  -61.526498103  -106.3682   6   5  41.7454  31.6011  32.9374 -31.1027  -9.3244 -24.8690   0.00    0.0
2281 393975   16.261244722  -61.526460402  -109.0177   6   4  36.9583  26.8485  26.3724 -27.9944   1.5196 -21.7779   0.00    0.0
2281 393976   16.261217907  -61.526420353  -112.3966   6   4  33.7548  24.4797  23.0176 -25.9686   2.5660 -19.1710   0.00    0.0
2281 393977   16.261206876  -61.526398376  -114.5831   6   4  31.1705  22.6090  20.6813 -24.1858   2.7096 -17.3009   0.00    0.0
2281 393978   16.261212781  -61.526393403  -116.3429   6   4  28.9778  21.0332  18.9323 -22.5953   2.5686 -15.8561   0.00    0.0
2281 393979   16.261229539  -61.526398659  -117.8368   6   4  27.0566  19.6566  17.5580 -21.1547   2.2757 -14.6839   0.00    0.0
2281 393980   16.261260403  -61.526415676  -119.2594   6   4  25.3373  18.4266  16.4404 -19.8345   1.8653 -13.7001   0.00    0.0
2281 393993   16.261716828  -61.526790865  -116.7662   6   4  10.6168  11.8721   9.0088 -10.5609  -7.3106   5.3354   0.00    0.0
2281 393994   16.261815594  -61.526898269  -113.4546   6   7   8.7231  10.2626   8.6502  -8.7318  -6.8593   4.9362   0.00    0.0
2281 393995   16.261867280  -61.526956926  -111.4479   6   7   7.6688   9.3523   8.3781  -7.7056  -6.5150   4.6487   0.00    0.0
2281 393996   16.261901247  -61.526997337  -109.7961   6   7   6.9428   8.7130   8.1331  -6.9944  -6.2304   4.4290   0.00    0.0
2281 393997   16.261926058  -61.527028214  -108.3687   6   7   6.3968   8.2207   7.9089  -6.4555  -5.9826   4.2474   0.00    0.0
2281 393998   16.261944677  -61.527052479  -107.1054   6   7   5.9624   7.8195   7.7018  -6.0233  -5.7607   4.0904   0.00    0.0
2281 393999   16.261959817  -61.527072985  -105.9370   6   7   5.6031   7.4798   7.5091  -5.6631  -5.5586   3.9509   0.00    0.0
2281 394000   16.261972434  -61.527090749  -104.8282   6   7   5.2974   7.1845   7.3288  -5.3542  -5.3724   3.8245   0.00    0.0
2281 394001   16.261983088  -61.527106315  -103.7979   6   7   5.0318   6.9227   7.1593  -5.0839  -5.1992   3.7086   0.00    0.0
2281 394002   16.261992556  -61.527120599  -102.7821   6   7   4.7973   6.6872   6.9991  -4.8435  -5.0372   3.6013   0.00    0.0
2281 394003   16.262002809  -61.527135666  -102.0073   6   6   4.5913   6.4761   6.8554  -4.6310  -4.8778   3.4922   0.00    0.0
2281 394004   16.262011958  -61.527149555  -101.2356   6   6   4.4042   6.2817   6.7187  -4.4370  -4.7277   3.3910   0.00    0.0
2281 394005   16.262048965  -61.527246887   -94.6694   6   7   4.0977   5.2986   6.2914  -3.8630  -3.8877   2.9652   0.00    0.0
2281 394006   16.262074777  -61.527293243   -91.3913   6   7   3.8436   4.8821   6.0855  -3.5067  -3.5312   2.7225   0.00    0.0
2281 394007   16.262099652  -61.527351356   -87.3216   6   8   3.6087   4.2318   5.8170  -3.0997  -2.9567   2.4399   0.00    0.0
2281 394008   16.262115021  -61.527385755   -84.8849   6   8   3.4323   3.8043   5.6340  -2.8256  -2.5741   2.2696   0.00    0.0
2281 394009   16.262125417  -61.527408269   -83.2749   6   8   3.2869   3.4941   5.4920  -2.6207  -2.2931   2.1552   0.00    0.0
2281 394010   16.262133601  -61.527424636   -82.0911   6   8   3.1607   3.2546   5.3732  -2.4572  -2.0738   2.0722   0.00    0.0
2281 394011   16.262140409  -61.527437131   -81.1658   6   8   3.0477   3.0616   5.2692  -2.3207  -1.8951   2.0081   0.00    0.0
2281 394012   16.262146340  -61.527447107   -80.3829   6   8   2.9446   2.9010   5.1749  -2.2032  -1.7447   1.9560   0.00    0.0
2281 394013   16.262151507  -61.527455285   -79.6857   6   8   2.8491   2.7642   5.0877  -2.0996  -1.6149   1.9116   0.00    0.0
2281 394014   16.262153738  -61.527458631   -79.2514   6   7   2.7733   2.6791   5.0140  -2.0354  -1.5412   1.8937   0.00    0.0
