%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2281 152394   16.262331950  -61.527539121   -21.5726   6   6  12.4794  21.7373  36.7905 -11.0819 -18.3396  14.4387   0.00    0.0
2281 152395   16.262333970  -61.527544165   -20.0132   6   6   9.2799  16.4402  29.1817  -8.6441 -15.0140  11.6316   0.00    0.0
2281 152396   16.262334323  -61.527545703   -19.3799   6   6   7.7268  13.7736  24.8741  -7.3260 -12.9401   9.9676   0.00    0.0
2281 152397   16.262334387  -61.527546519   -19.0449   6   6   6.7565  12.0842  21.9846  -6.4614 -11.4994   8.8309   0.00    0.0
2281 152398   16.262335188  -61.527547694   -18.3862   6   6   6.0733  10.8862  19.8557  -5.8341 -10.4178   7.9843   0.00    0.0
2281 152399   16.262335803  -61.527548586   -17.8381   6   6   5.5565   9.9768  18.1897  -5.3492  -9.5610   7.3165   0.00    0.0
2281 152400   16.262336388  -61.527550217   -17.3762   6   6   5.1465   9.2538  16.8300  -4.9579  -8.8554   6.7679   0.00    0.0
2281 152401   16.262337393  -61.527551702   -16.9968   6   6   4.8100   8.6598  15.6857  -4.6318  -8.2575   6.3034   0.00    0.0
2281 152402   16.262338969  -61.527553737   -16.4484   6   6   4.5265   8.1594  14.6999  -4.3536  -7.7394   5.9012   0.00    0.0
2281 152403   16.262339367  -61.527553916   -16.5712   6   6   4.2829   7.7295  13.8351  -4.1117  -7.2827   5.5466   0.00    0.0
2281 152404   16.262334009  -61.527550803   -18.1446   6   9   3.6999   6.5164  11.9892  -3.3224  -5.9782   4.3210   0.00    0.0
2281 152405   16.262331593  -61.527549569   -18.7179   6   9   3.3632   5.8028  10.8911  -2.8922  -5.2595   3.6382   0.00    0.0
2281 152406   16.262330060  -61.527548434   -19.1120   6   9   3.1142   5.2884  10.0578  -2.5887  -4.7451   3.1415   0.00    0.0
2281 152407   16.262329025  -61.527547648   -19.3306   6   9   2.9188   4.8935   9.3884  -2.3602  -4.3506   2.7594   0.00    0.0
