%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2281 489833   16.262318716  -61.527603430   -12.7020   6   6  11.6465  24.8465  27.6982   5.5275 -22.1575   5.6148   0.00    0.0
2281 489834   16.262317741  -61.527609784   -12.3010   6   6   8.4417  19.0863  21.3413   4.1322 -17.4083   4.0573   0.00    0.0
2281 489835   16.262317735  -61.527609998   -12.4245   6   6   6.9501  16.0760  17.9878   3.4534 -14.7750   3.3177   0.00    0.0
2281 489836   16.262317767  -61.527610565   -12.3713   6   6   6.0428  14.1439  15.8244   3.0373 -13.0441   2.8587   0.00    0.0
2281 489837   16.262318110  -61.527610783   -12.3126   6   6   5.4162  12.7658  14.2748   2.7518 -11.7919   2.5337   0.00    0.0
2281 489838   16.262318333  -61.527609968   -12.4203   6   6   4.9499  11.7166  13.0903   2.5426 -10.8287   2.2843   0.00    0.0
2281 489839   16.262318633  -61.527608770   -12.5052   6   6   4.5851  10.8814  12.1434   2.3825 -10.0553   2.0823   0.00    0.0
2281 489840   16.262318615  -61.527607844   -12.5815   6   6   4.2895  10.1946  11.3614   2.2561  -9.4146   1.9119   0.00    0.0
2281 489841   16.262318555  -61.527605954   -12.7633   6   6   4.0434   9.6157  10.6993   2.1540  -8.8706   1.7638   0.00    0.0
2281 489842   16.262318452  -61.527603715   -13.0087   6   6   3.8342   9.1182  10.1274   2.0701  -8.3998   1.6318   0.00    0.0
2281 489843   16.262317635  -61.527608402   -12.1301   6   8   3.6094   7.5914   8.9772   1.4300  -7.0288   2.0206   0.00    0.0
2281 489844   16.262317425  -61.527610647   -11.5545   6   8   3.4301   6.7209   8.2658   1.0761  -6.2457   2.0954   0.00    0.0
2281 489845   16.262317177  -61.527611218   -11.2453   6   8   3.2759   6.1046   7.7251   0.8229  -5.6858   2.0976   0.00    0.0
2281 489846   16.262316929  -61.527611649   -11.0204   6   8   3.1404   5.6366   7.2874   0.6304  -5.2560   2.0682   0.00    0.0
2281 489847   16.262316584  -61.527612458   -10.7705   6   8   3.0196   5.2640   6.9189   0.4779  -4.9102   2.0235   0.00    0.0
2281 489848   16.262316208  -61.527613200   -10.5599   6   8   2.9106   4.9572   6.6000   0.3536  -4.6223   1.9710   0.00    0.0
2281 489849   16.262315761  -61.527613892   -10.3938   6   8   2.8113   4.6983   6.3189   0.2501  -4.3767   1.9148   0.00    0.0
2281 489850   16.262315436  -61.527614221   -10.3090   6   8   2.7202   4.4754   6.0673   0.1626  -4.1631   1.8569   0.00    0.0
2281 489851   16.262314910  -61.527614209   -10.3209   6   8   2.6362   4.2804   5.8395   0.0880  -3.9743   1.7986   0.00    0.0
2281 489852   16.262314436  -61.527614334   -10.3124   6   8   2.5581   4.1078   5.6315   0.0269  -3.8055   1.7406   0.00    0.0
2281 489853   16.262313935  -61.527614223   -10.3309   6   8   2.4854   3.9534   5.4401   0.0403  -3.6529   1.6834   0.00    0.0
2281 489854   16.262312556  -61.527603017   -11.8604   6  10   2.3966   3.6044   5.0459   0.2747  -3.2391   1.5881   0.00    0.0
2281 489855   16.262311505  -61.527595887   -12.8686   6  10   2.3168   3.3485   4.7490   0.3420  -2.9363   1.5082   0.00    0.0
2281 489856   16.262310685  -61.527590546   -13.6518   6  10   2.2440   3.1452   4.5074   0.3762  -2.6964   1.4383   0.00    0.0
2281 489857   16.262310017  -61.527586575   -14.2584   6  10   2.1771   2.9784   4.3041   0.3953  -2.5002   1.3753   0.00    0.0
2281 489858   16.262309359  -61.527583449   -14.7648   6  10   2.1150   2.8379   4.1286   0.4062  -2.3358   1.3177   0.00    0.0
2281 489859   16.262308717  -61.527581132   -15.1715   6  10   2.0572   2.7173   3.9742   0.4123  -2.1955   1.2644   0.00    0.0
2281 489860   16.262308125  -61.527579192   -15.5144   6  10   2.0030   2.6120   3.8363   0.4153  -2.0738   1.2145   0.00    0.0
2281 489861   16.262307511  -61.527577417   -15.8320   6  10   1.9521   2.5190   3.7118   0.4164  -1.9669   1.1675   0.00    0.0
2281 489862   16.262306976  -61.527575931   -16.0950   6  10   1.9041   2.4359   3.5982   0.4160  -1.8720   1.1230   0.00    0.0
2281 489863   16.262306456  -61.527574519   -16.3676   6  10   1.8586   2.3610   3.4937   0.4148  -1.7870   1.0806   0.00    0.0
2281 489864   16.262306104  -61.527573303   -16.5801   6  10   1.8153   2.2930   3.3970   0.4129  -1.7102   1.0401   0.00    0.0
2281 489865   16.262305850  -61.527572189   -16.7919   6  10   1.7742   2.2307   3.3069   0.4105  -1.6404   1.0012   0.00    0.0
2281 489866   16.262305624  -61.527571281   -16.9881   6  10   1.7349   2.1735   3.2227   0.4077  -1.5766   0.9638   0.00    0.0
2281 489867   16.262305421  -61.527570592   -17.1408   6  10   1.6973   2.1205   3.1436   0.4047  -1.5179   0.9278   0.00    0.0
2281 489868   16.262305140  -61.527569869   -17.3014   6  10   1.6613   2.0714   3.0691   0.4016  -1.4636   0.8930   0.00    0.0
2281 489869   16.262304941  -61.527569068   -17.4657   6  10   1.6267   2.0255   2.9985   0.3982  -1.4133   0.8593   0.00    0.0
2281 489870   16.262304733  -61.527568353   -17.6195   6  10   1.5935   1.9826   2.9317   0.3948  -1.3663   0.8266   0.00    0.0
2281 489871   16.262304508  -61.527567774   -17.7563   6  10   1.5615   1.9423   2.8681   0.3912  -1.3225   0.7949   0.00    0.0
2281 489872   16.262304280  -61.527567243   -17.8922   6  10   1.5306   1.9043   2.8075   0.3876  -1.2814   0.7640   0.00    0.0
2281 489873   16.262303912  -61.527566745   -18.0365   6  10   1.5009   1.8685   2.7497   0.3839  -1.2427   0.7339   0.00    0.0
2281 489874   16.262303722  -61.527566097   -18.1819   6  12   1.4633   1.8311   2.6868   0.3715  -1.2002   0.6929   0.00    0.0
2281 489875   16.262303524  -61.527565466   -18.3363   6  12   1.4284   1.7961   2.6285   0.3592  -1.1614   0.6556   0.00    0.0
2281 489876   16.262303315  -61.527564902   -18.4778   6  12   1.3955   1.7631   2.5732   0.3477  -1.1249   0.6201   0.00    0.0
2281 489877   16.262303217  -61.527564289   -18.5954   6  12   1.3643   1.7318   2.5206   0.3369  -1.0905   0.5862   0.00    0.0
2281 489878   16.262302968  -61.527563705   -18.7368   6  12   1.3347   1.7021   2.4705   0.3266  -1.0580   0.5536   0.00    0.0
2281 489879   16.262302846  -61.527563225   -18.8302   6  12   1.3065   1.6738   2.4226   0.3168  -1.0272   0.5221   0.00    0.0
2281 489880   16.262302731  -61.527562772   -18.9123   6  12   1.2797   1.6468   2.3767   0.3074  -0.9979   0.4917   0.00    0.0
2281 489881   16.262302631  -61.527562350   -18.9835   6  12   1.2540   1.6210   2.3328   0.2985  -0.9700   0.4622   0.00    0.0
