%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2262 419640   47.833946482    7.596171483   282.7180   6   5  14.9666  12.6294  47.8327  -8.3666 -10.0616 -16.2629   0.00    0.0
2262 419641   47.833944609    7.596166957   286.5388   6   5  11.1139   9.1074  41.0976  -5.8440  -8.6008 -14.1351   0.00    0.0
2262 419642   47.833955938    7.596163560   282.0959   6   5   9.2931   7.4958  36.5873  -4.7034  -7.6391 -12.6340   0.00    0.0
2262 419643   47.833950116    7.596164375   285.6544   6   5   8.1653   6.5205  33.2959  -4.0278  -6.9413 -11.5210   0.00    0.0
2262 419645   47.833945421    7.596163562   289.9964   6   5   7.3499   5.8482  30.1325  -3.5768  -6.3756 -10.4785   0.00    0.0
2262 419647   47.833943338    7.596163384   292.2071   6   5   6.7390   5.3485  27.7293  -3.2484  -5.9213  -9.6750   0.00    0.0
2262 419648   47.833941151    7.596163603   293.2277   6   5   6.2755   4.9585  26.2091  -2.9919  -5.5699  -9.1427   0.00    0.0
2262 419649   47.833935591    7.596161156   297.6794   6   4   6.0025   4.6612  24.9687  -2.8680  -5.2100  -8.7954   0.00    0.0
2262 419650   47.833930292    7.596160569   301.6755   6   4   5.7627   4.4121  23.8919  -2.7577  -4.9080  -8.4833   0.00    0.0
2262 419651   47.833930909    7.596161177   300.6743   6   5   5.4664   4.1850  22.8979  -2.5958  -4.7045  -8.1150   0.00    0.0
2262 419652   47.833926253    7.596161145   303.1580   6   5   5.2121   3.9898  22.0183  -2.4588  -4.5236  -7.7913   0.00    0.0
2262 419653   47.833926009    7.596160575   303.2261   6   5   4.9905   3.8195  21.2328  -2.3411  -4.3616  -7.5039   0.00    0.0
2262 419654   47.833923580    7.596160715   304.5478   6   5   4.7953   3.6693  20.5257  -2.2386  -4.2154  -7.2464   0.00    0.0
2262 419655   47.833926123    7.596160707   303.1439   6   5   4.6214   3.5355  19.8847  -2.1483  -4.0826  -7.0139   0.00    0.0
2262 419657   47.833924246    7.596161082   304.4768   6   5   4.4579   3.4151  19.1438  -2.0701  -3.9506  -6.7559   0.00    0.0
2262 419658   47.833925584    7.596161058   303.5351   6   5   4.3173   3.3063  18.6201  -1.9980  -3.8395  -6.5664   0.00    0.0
2262 419659   47.833925890    7.596161356   303.2572   6   5   4.1893   3.2073  18.1372  -1.9329  -3.7370  -6.3920   0.00    0.0
2262 419660   47.833925437    7.596161191   303.3106   6   5   4.0722   3.1166  17.6899  -1.8738  -3.6420  -6.2310   0.00    0.0
2262 419661   47.833926497    7.596161422   302.6416   6   5   3.9644   3.0331  17.2740  -1.8197  -3.5537  -6.0816   0.00    0.0
2262 419662   47.833926064    7.596161164   302.9757   6   5   3.8648   2.9560  16.8861  -1.7701  -3.4713  -5.9425   0.00    0.0
2262 419663   47.833927927    7.596160747   302.0239   6   5   3.7723   2.8845  16.5231  -1.7243  -3.3942  -5.8125   0.00    0.0
2262 419664   47.833928469    7.596160854   301.6246   6   5   3.6863   2.8179  16.1824  -1.6819  -3.3218  -5.6908   0.00    0.0
2262 419665   47.833928680    7.596160786   301.4598   6   5   3.6059   2.7556  15.8620  -1.6425  -3.2537  -5.5764   0.00    0.0
2262 419666   47.833927405    7.596160727   302.2637   6   5   3.5305   2.6973  15.5597  -1.6057  -3.1894  -5.4687   0.00    0.0
2262 419667   47.833927740    7.596161044   301.9507   6   5   3.4598   2.6425  15.2741  -1.5714  -3.1286  -5.3670   0.00    0.0
2262 419668   47.833928919    7.596160997   301.1097   6   5   3.3931   2.5909  15.0036  -1.5391  -3.0710  -5.2708   0.00    0.0
2262 419669   47.833928477    7.596161157   301.2396   6   5   3.3302   2.5422  14.7469  -1.5088  -3.0163  -5.1796   0.00    0.0
2262 419670   47.833926320    7.596161010   302.5233   6   5   3.2706   2.4961  14.5028  -1.4802  -2.9643  -5.0930   0.00    0.0
2262 419671   47.833926466    7.596160983   302.5496   6   5   3.2142   2.4524  14.2705  -1.4532  -2.9148  -5.0106   0.00    0.0
2262 419672   47.833925514    7.596160878   303.1912   6   5   3.1606   2.4109  14.0489  -1.4276  -2.8676  -4.9321   0.00    0.0
2262 419673   47.833926235    7.596160808   302.8378   6   5   3.1096   2.3714  13.8373  -1.4034  -2.8224  -4.8572   0.00    0.0
2262 419674   47.833925872    7.596160430   303.1284   6   5   3.0610   2.3338  13.6349  -1.3803  -2.7792  -4.7856   0.00    0.0
2262 419675   47.833925733    7.596160571   303.1834   6   5   3.0146   2.2979  13.4411  -1.3584  -2.7378  -4.7170   0.00    0.0
2262 419676   47.833925659    7.596160687   303.1653   6   5   2.9703   2.2636  13.2552  -1.3375  -2.6981  -4.6514   0.00    0.0
2262 419677   47.833926430    7.596160349   302.8505   6   5   2.9279   2.2308  13.0769  -1.3176  -2.6600  -4.5884   0.00    0.0
2262 419678   47.833927147    7.596160162   302.4820   6   5   2.8872   2.1993  12.9055  -1.2985  -2.6233  -4.5279   0.00    0.0
2262 419679   47.833928276    7.596159937   301.9629   6   5   2.8482   2.1691  12.7406  -1.2803  -2.5881  -4.4698   0.00    0.0
2262 419680   47.833928374    7.596160066   301.9095   6   5   2.8108   2.1401  12.5818  -1.2628  -2.5541  -4.4138   0.00    0.0
2262 419681   47.833928671    7.596159764   301.8591   6   5   2.7748   2.1123  12.4288  -1.2460  -2.5213  -4.3599   0.00    0.0
2262 419682   47.833928534    7.596159674   301.9070   6   5   2.7402   2.0854  12.2813  -1.2299  -2.4897  -4.3079   0.00    0.0
2262 419683   47.833927230    7.596159158   302.9299   6   4   2.7167   2.0611  12.1460  -1.2219  -2.4525  -4.2691   0.00    0.0
2262 419684   47.833927275    7.596159011   302.8675   6   5   2.6842   2.0361  12.0081  -1.2067  -2.4231  -4.2203   0.00    0.0
2262 419685   47.833925728    7.596158938   303.8933   6   5   2.6528   2.0120  11.8747  -1.1921  -2.3948  -4.1731   0.00    0.0
