%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2261 241980   47.833907451    7.596228609   279.1413   6   6  23.5003  20.2852  24.1562 -20.0528  -3.8153   7.9616   0.00    0.0
2261 241981   47.833913063    7.596221069   280.5994   6   6  17.7028  15.2294  17.8323 -15.2263  -3.2638   6.1639   0.00    0.0
2261 241982   47.833922900    7.596204046   281.3699   6   6  14.7923  12.7109  14.7854 -12.7570  -2.8411   5.2010   0.00    0.0
2261 241983   47.833930688    7.596194412   281.3564   6   6  12.9644  11.1339  12.9069 -11.1957  -2.5411   4.5812   0.00    0.0
2261 241984   47.833929357    7.596195297   281.5827   6   6  11.6803  10.0278  11.6011 -10.0949  -2.3174   4.1402   0.00    0.0
2261 241985   47.833928785    7.596195950   282.1582   6   6  10.7146   9.1967  10.6260  -9.2653  -2.1431   3.8057   0.00    0.0
2261 241986   47.833930455    7.596195056   281.9888   6   6   9.9543   8.5429   9.8621  -8.6112  -2.0027   3.5410   0.00    0.0
2261 241987   47.833929962    7.596196824   282.0988   6   6   9.3355   8.0111   9.2428  -8.0782  -1.8864   3.3246   0.00    0.0
2261 241988   47.833930374    7.596195429   282.1921   6   6   8.8192   7.5674   8.7275  -7.6332  -1.7882   3.1435   0.00    0.0
2261 241989   47.833929993    7.596195758   282.2484   6   6   8.3798   7.1901   8.2901  -7.2542  -1.7038   2.9891   0.00    0.0
2261 241990   47.833929971    7.596195107   282.2672   6   6   8.0000   6.8639   7.9128  -6.9264  -1.6303   2.8553   0.00    0.0
2261 241991   47.833930571    7.596193433   282.1617   6   6   7.6673   6.5784   7.5829  -6.6392  -1.5655   2.7379   0.00    0.0
2261 241992   47.833929822    7.596194739   282.2899   6   6   7.3728   6.3256   7.2913  -6.3849  -1.5079   2.6339   0.00    0.0
2261 241993   47.833930746    7.596193637   282.3573   6   6   7.1098   6.0998   7.0312  -6.1577  -1.4561   2.5408   0.00    0.0
