%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2281 401993   16.260292236  -61.526368729   177.8025   6   6  31.2480  19.8558  31.2687 -22.3248  12.2235 -18.2621   0.00    0.0
2281 401994   16.260279554  -61.526362354   177.2612   6   6  24.7673  15.4799  24.3824 -17.8769  10.2601 -15.0734   0.00    0.0
2281 401995   16.260271541  -61.526357245   177.1055   6   5  21.4758  13.3936  20.7856 -15.6323   9.2648 -13.3809   0.00    0.0
2281 401996   16.260267853  -61.526354690   176.9140   6   5  19.2662  12.0072  18.4379 -14.0925   8.5044 -12.1643   0.00    0.0
2281 401997   16.260264607  -61.526352429   176.9405   6   6  17.4004  10.8087  16.6594 -12.7194   7.6869 -11.0130   0.00    0.0
2281 401998   16.260264243  -61.526351549   176.8145   6   6  15.9897   9.9117  15.3085 -11.6841   7.0699 -10.1376   0.00    0.0
2281 401999   16.260265009  -61.526350812   176.5616   6   5  15.0062   9.3078  14.2830 -10.9910   6.7012  -9.5634   0.00    0.0
2281 402000   16.260267310  -61.526350649   176.1352   6   5  14.1873   8.8054  13.4369 -10.4107   6.3850  -9.0776   0.00    0.0
2281 402001   16.260267844  -61.526350064   175.8164   6   5  13.4901   8.3780  12.7219  -9.9146   6.1096  -8.6586   0.00    0.0
2281 402002   16.260269397  -61.526349696   175.3932   6   5  12.8861   8.0080  12.1064  -9.4834   5.8665  -8.2918   0.00    0.0
2281 402003   16.260272889  -61.526350897   174.8041   6   6  12.2630   7.6138  11.5352  -9.0177   5.5692  -7.8833   0.00    0.0
2281 402004   16.262004007  -61.527197537    77.1134   5   8  11.7229   6.5824  16.5078  -8.1390   8.5889 -12.2624   0.00    0.0
2281 402005   16.262010138  -61.527200686    76.1297   5   8  11.7295   6.5851  16.5131  -8.1435   8.5930 -12.2687   0.00    0.0
2281 402006   16.262008686  -61.527201186    75.9503   5   8  11.7361   6.5879  16.5185  -8.1480   8.5971 -12.2749   0.00    0.0
2281 402007   16.262007814  -61.527202100    75.6137   5   8  11.7427   6.5907  16.5239  -8.1525   8.6012 -12.2811   0.00    0.0
2281 402008   16.262012385  -61.527205071    74.9971   5   8  11.7493   6.5934  16.5292  -8.1570   8.6053 -12.2874   0.00    0.0
2281 402009   16.262006665  -61.527201289    75.7286   5   8  11.7559   6.5962  16.5346  -8.1615   8.6095 -12.2936   0.00    0.0
2281 402010   16.262015773  -61.527204854    74.7785   5   8  11.7625   6.5990  16.5400  -8.1661   8.6136 -12.2998   0.00    0.0
2281 402011   16.262009417  -61.527201441    75.7880   5   8  11.7691   6.6018  16.5453  -8.1706   8.6177 -12.3061   0.00    0.0
2281 402012   16.262019727  -61.527206503    74.5843   5   8  11.7757   6.6046  16.5507  -8.1751   8.6218 -12.3124   0.00    0.0
2281 402013   16.262144474  -61.527257623    49.5508   5   9   9.6845   6.0347  11.1830  -6.9893   6.4465  -8.3558   0.00    0.0
2281 402014   16.262146216  -61.527258480    49.4286   5   9   9.6878   6.0364  11.1840  -6.9918   6.4478  -8.3575   0.00    0.0
2281 402015   16.262147130  -61.527259494    49.2427   5   9   9.6912   6.0380  11.1849  -6.9943   6.4490  -8.3592   0.00    0.0
2281 402016   16.262150477  -61.527261051    48.8383   5   9   9.6945   6.0397  11.1859  -6.9968   6.4502  -8.3608   0.00    0.0
2281 402017   16.262147403  -61.527260823    48.8945   5   9   9.6979   6.0413  11.1869  -6.9993   6.4515  -8.3625   0.00    0.0
2281 402018   16.262151516  -61.527262486    48.7379   5   9   9.7012   6.0430  11.1878  -7.0018   6.4527  -8.3642   0.00    0.0
2281 402019   16.262149824  -61.527261562    48.8617   5   9   9.7045   6.0447  11.1888  -7.0043   6.4539  -8.3658   0.00    0.0
2281 402020   16.262149254  -61.527260947    48.9273   5   9   9.7079   6.0463  11.1898  -7.0068   6.4551  -8.3675   0.00    0.0
2281 402021   16.262147358  -61.527259167    49.1185   5   9   9.7112   6.0480  11.1907  -7.0093   6.4564  -8.3691   0.00    0.0
2281 402022   16.262144004  -61.527255660    49.7044   5   9   9.7146   6.0497  11.1917  -7.0118   6.4576  -8.3708   0.00    0.0
