%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2281 400043   16.262307324  -61.527542525    -9.0047   6   7  11.9868  11.2124  28.5984   7.5001 -10.1624  -8.1107   0.00    0.0
2281 400044   16.262304365  -61.527543842   -10.6277   6   7   8.7376   8.1357  21.9224   5.5337  -7.8476  -6.5738   0.00    0.0
2281 400045   16.262303081  -61.527544976   -11.4109   6   7   7.2114   6.7053  18.4395   4.5896  -6.6205  -5.6416   0.00    0.0
2281 400046   16.262302052  -61.527545588   -11.7950   6   7   6.2778   5.8348  16.2097   4.0063  -5.8312  -5.0183   0.00    0.0
2281 400047   16.262301213  -61.527545705   -12.0460   6   7   5.6305   5.2334  14.6224   3.5998  -5.2687  -4.5676   0.00    0.0
2281 400048   16.262300631  -61.527545711   -12.1926   6   7   5.1472   4.7859  13.4161   3.2952  -4.8416  -4.2239   0.00    0.0
2281 400049   16.262300193  -61.527545719   -12.2814   6   7   4.7681   4.4360  12.4572   3.0558  -4.5026  -3.9517   0.00    0.0
2281 400050   16.262299975  -61.527545796   -12.3716   6   7   4.4600   4.1525  11.6697   2.8610  -4.2250  -3.7299   0.00    0.0
2281 400051   16.262300027  -61.527545886   -12.4904   6   7   4.2030   3.9167  11.0068   2.6983  -3.9919  -3.5453   0.00    0.0
2281 400052   16.262300062  -61.527545942   -12.6386   6   7   3.9840   3.7164  10.4376   2.5597  -3.7925  -3.3890   0.00    0.0
2281 400053   16.262308762  -61.527535012   -15.3387   6  10   3.4541   3.1928   9.3146   1.9184  -2.9841  -2.3833   0.00    0.0
2281 400054   16.262311768  -61.527531114   -16.3687   6  10   3.1398   2.8938   8.5998   1.5647  -2.5738  -1.8199   0.00    0.0
2281 400055   16.262313470  -61.527528958   -16.9934   6  10   2.9126   2.6812   8.0547   1.3242  -2.3062  -1.4345   0.00    0.0
2281 400056   16.262314408  -61.527527534   -17.4095   6  10   2.7349   2.5173   7.6111   1.1476  -2.1138  -1.1528   0.00    0.0
2281 400057   16.262315064  -61.527526581   -17.7243   6  10   2.5890   2.3844   7.2358   1.0114  -1.9660  -0.9395   0.00    0.0
2281 400058   16.262315426  -61.527525893   -17.9534   6  10   2.4653   2.2731   6.9100   0.9026  -1.8471  -0.7760   0.00    0.0
2281 400059   16.262315621  -61.527525292   -18.1782   6  10   2.3580   2.1777   6.6220   0.8135  -1.7480  -0.6518   0.00    0.0
2281 400060   16.262315512  -61.527524767   -18.3698   6  10   2.2633   2.0943   6.3638   0.7391  -1.6634  -0.5606   0.00    0.0
2281 400061   16.262315428  -61.527524308   -18.5496   6  10   2.1786   2.0205   6.1299   0.6761  -1.5896  -0.4983   0.00    0.0
2281 400062   16.262314732  -61.527522870   -18.8784   6  12   2.0970   1.9364   5.8698   0.6512  -1.4729  -0.5249   0.00    0.0
2281 400063   16.262314190  -61.527521617   -19.1936   6  12   2.0237   1.8644   5.6412   0.6257  -1.3773  -0.5518   0.00    0.0
2281 400064   16.262313702  -61.527520531   -19.4477   6  12   1.9568   1.8004   5.4350   0.6028  -1.2950  -0.5802   0.00    0.0
2281 400065   16.262313257  -61.527519496   -19.6956   6  12   1.8953   1.7429   5.2472   0.5820  -1.2232  -0.6080   0.00    0.0
2281 400066   16.262312794  -61.527518643   -19.9264   6  12   1.8384   1.6909   5.0750   0.5630  -1.1602  -0.6344   0.00    0.0
2281 400067   16.262312348  -61.527517867   -20.1947   6  12   1.7856   1.6434   4.9160   0.5454  -1.1042  -0.6590   0.00    0.0
2281 400068   16.262312000  -61.527517209   -20.4271   6  12   1.7364   1.5999   4.7684   0.5291  -1.0541  -0.6817   0.00    0.0
2281 400069   16.262311440  -61.527516729   -20.7034   6  12   1.6902   1.5597   4.6307   0.5139  -1.0089  -0.7025   0.00    0.0
2281 400070   16.262310980  -61.527516359   -20.9248   6  12   1.6469   1.5225   4.5018   0.4996  -0.9681  -0.7215   0.00    0.0
2281 400071   16.262310508  -61.527516172   -21.0838   6  12   1.6061   1.4879   4.3806   0.4862  -0.9308  -0.7387   0.00    0.0
2281 400072   16.262310094  -61.527516042   -21.2457   6  12   1.5675   1.4556   4.2664   0.4735  -0.8967  -0.7543   0.00    0.0
