%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2281 400073   16.262309555  -61.527515659   -21.3669   6  12   1.5298   1.4311   4.1594   0.4661  -0.8565  -0.7689   0.00    0.0
2281 400074   16.262309076  -61.527515306   -21.4848   6  12   1.4947   1.4080   4.0583   0.4582  -0.8193  -0.7811   0.00    0.0
2281 400075   16.262308821  -61.527514918   -21.5684   6  12   1.4613   1.3862   3.9621   0.4502  -0.7847  -0.7920   0.00    0.0
2281 400076   16.262308573  -61.527514566   -21.6492   6  12   1.4296   1.3654   3.8706   0.4423  -0.7523  -0.8017   0.00    0.0
2281 400077   16.262308313  -61.527514259   -21.7186   6  12   1.3994   1.3456   3.7833   0.4344  -0.7219  -0.8104   0.00    0.0
2281 400078   16.262308069  -61.527513977   -21.7785   6  12   1.3720   1.3268   3.7090   0.4259  -0.6948  -0.8078   0.00    0.0
2281 400079   16.262307793  -61.527513740   -21.8066   6  12   1.3458   1.3087   3.6374   0.4176  -0.6692  -0.8058   0.00    0.0
2281 400080   16.262307586  -61.527513509   -21.8486   6  12   1.3206   1.2914   3.5685   0.4095  -0.6450  -0.8041   0.00    0.0
2281 400081   16.262307339  -61.527513321   -21.8845   6  12   1.2963   1.2749   3.5020   0.4015  -0.6222  -0.8026   0.00    0.0
2281 400082   16.262307306  -61.527512755   -21.9323   6   4   1.2951   1.2720   3.4995   0.4027  -0.6184  -0.8024   0.00    0.0
2281 400083   16.262307165  -61.527512134   -21.9909   6   5   1.2931   1.2691   3.4969   0.4045  -0.6144  -0.8029   0.00    0.0
2281 400084   16.262307060  -61.527511496   -22.0472   6   5   1.2915   1.2663   3.4943   0.4060  -0.6104  -0.8031   0.00    0.0
2281 400085   16.262306952  -61.527510856   -22.1024   6   5   1.2898   1.2634   3.4916   0.4075  -0.6065  -0.8034   0.00    0.0
2281 400086   16.262306837  -61.527510201   -22.1606   6   5   1.2881   1.2606   3.4888   0.4089  -0.6025  -0.8038   0.00    0.0
