%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2280 466777   31.025016699  121.439441128    40.1447   6   5  12.3035   9.8358  24.2787  -2.7588   3.3757 -10.9731   0.00    0.0
2280 466778   31.025016005  121.439440800    40.0225   6   5   8.9382   7.0724  18.0527  -2.0219   2.4344  -8.2099   0.00    0.0
2280 466779   31.025015758  121.439440703    39.9907   6   5   7.3637   5.8075  14.9952  -1.6686   1.9964  -6.8321   0.00    0.0
2280 466780   31.025015673  121.439440565    39.9636   6   5   6.4024   5.0437  13.0894  -1.4502   1.7278  -5.9676   0.00    0.0
2280 466781   31.025015659  121.439440425    39.9887   6   6   5.6449   4.4515  11.7373  -0.9439   1.6841  -5.4153   0.00    0.0
2280 466782   31.025015642  121.439440295    39.9767   6   6   5.1116   4.0355  10.7242  -0.6264   1.5956  -4.9769   0.00    0.0
2280 466783   31.025015721  121.439440185    39.9432   6   6   4.7053   3.7198   9.9252  -0.3804   1.5057  -4.6216   0.00    0.0
2280 466784   31.025015640  121.439440105    39.9469   6   6   4.3808   3.4690   9.2722  -0.0936   1.4222  -4.3263   0.00    0.0
2280 466785   31.025015676  121.439440047    39.9545   6   6   4.1130   3.2632   8.7239   0.2662   1.3461  -4.0753   0.00    0.0
2280 466786   31.025016351  121.439440381    39.9133   6   7   3.8027   3.0551   8.2524  -0.5036   1.3050  -3.8419   0.00    0.0
2280 466787   31.025016902  121.439440602    39.8812   6   7   3.5565   2.8859   7.8413  -0.6449   1.2580  -3.6417   0.00    0.0
2280 466788   31.025017250  121.439440798    39.8706   6   7   3.3521   2.7432   7.4778  -0.7084   1.2102  -3.4660   0.00    0.0
2280 466789   31.025017531  121.439440987    39.8863   6   7   3.1781   2.6205   7.1522  -0.7382   1.1634  -3.3096   0.00    0.0
2280 466790   31.025017728  121.439441147    39.8901   6   7   3.0271   2.5132   6.8578  -0.7502   1.1183  -3.1687   0.00    0.0
2280 466791   31.025017836  121.439441261    39.8885   6   7   2.8943   2.4183   6.5892  -0.7520   1.0751  -3.0405   0.00    0.0
2280 466792   31.025018092  121.439441350    39.8365   6   7   2.7759   2.3334   6.3423  -0.7477   1.0339  -2.9230   0.00    0.0
2280 466793   31.025018336  121.439441453    39.8009   6   7   2.6693   2.2569   6.1139  -0.7395   0.9947  -2.8145   0.00    0.0
2280 466794   31.025018436  121.439441561    39.7699   6   7   2.5725   2.1873   5.9016  -0.7289   0.9572  -2.7138   0.00    0.0
2280 466795   31.025018575  121.439441649    39.7252   6   7   2.4841   2.1237   5.7032  -0.7167   0.9215  -2.6199   0.00    0.0
2280 466796   31.025018943  121.439441618    39.5745   6   7   2.4027   2.0653   5.5170  -0.7037   0.8873  -2.5318   0.00    0.0
