%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2281 192050   16.262291938  -61.527539121   -21.4523   6   7  21.5285  11.1345  34.9088   4.0418  -4.4398 -19.0221   0.00    0.0
2281 192051   16.262288596  -61.527540386   -21.0381   6   7  16.3551   8.1177  27.8388   2.9610  -3.6334 -15.5533   0.00    0.0
2281 192052   16.262286865  -61.527541531   -20.5503   6   7  13.7221   6.6999  23.8143   2.4562  -3.1323 -13.4124   0.00    0.0
2281 192053   16.262286949  -61.527541763   -20.5595   6   7  12.0402   5.8343  21.1170   2.1436  -2.7878 -11.9314   0.00    0.0
2281 192054   16.262286875  -61.527541656   -20.6892   6   7  10.8388   5.2359  19.1376   1.9236  -2.5320 -10.8236   0.00    0.0
2281 192055   16.262287331  -61.527541531   -20.8615   6   7   9.9200   4.7905  17.5976   1.7566  -2.3318  -9.9492   0.00    0.0
2281 192056   16.262286987  -61.527541091   -20.9187   6   7   9.1841   4.4423  16.3495   1.6235  -2.1690  -9.2319   0.00    0.0
2281 192057   16.262287007  -61.527540647   -21.0010   6   7   8.5747   4.1604  15.3068   1.5134  -2.0327  -8.6261   0.00    0.0
2281 192058   16.262287364  -61.527539994   -21.1137   6   7   8.0570   3.9262  14.4152   1.4201  -1.9160  -8.1028   0.00    0.0
2281 192059   16.262287472  -61.527539450   -21.1310   6   7   7.6085   3.7275  13.6385   1.3391  -1.8144  -7.6426   0.00    0.0
2281 192060   16.262289264  -61.527537507   -21.2298   6   9   6.7945   3.4161  11.5686   0.5127  -1.3145  -6.2597   0.00    0.0
2281 192061   16.262290291  -61.527536339   -21.3642   6   9   6.2644   3.1930  10.3435  -0.6540  -1.0194  -5.4477   0.00    0.0
2281 192062   16.262291358  -61.527535502   -21.4014   6   9   5.8611   3.0170   9.4788  -0.8851  -0.8218  -4.8811   0.00    0.0
2281 192063   16.262292127  -61.527534954   -21.4576   6   9   5.5317   2.8717   8.8170  -0.9861  -0.6797  -4.4513   0.00    0.0
2281 192064   16.262292526  -61.527534692   -21.4874   6   9   5.2507   2.7482   8.2834  -1.0342  -0.5732  -4.1068   0.00    0.0
2281 192065   16.262292578  -61.527534579   -21.4720   6   9   5.0041   2.6410   7.8373  -1.0552  -0.4916  -3.8199   0.00    0.0
2281 192066   16.262293153  -61.527534476   -21.4794   6   9   4.7834   2.5465   7.4545  -1.0606  -0.4284  -3.5738   0.00    0.0
2281 192067   16.262293673  -61.527534456   -21.4829   6   9   4.5828   2.4621   7.1196  -1.0564  -0.3795  -3.3580   0.00    0.0
2281 192068   16.262294367  -61.527534402   -21.5607   6   9   4.3986   2.3861   6.8221  -1.0462  -0.3422  -3.1657   0.00    0.0
2281 192069   16.262294591  -61.527534348   -21.5895   6   9   4.2279   2.3171   6.5545  -1.0320  -0.3141  -2.9918   0.00    0.0
2281 192070   16.262295104  -61.527534338   -21.6375   6   9   4.0687   2.2539   6.3115  -1.0152  -0.2937  -2.8330   0.00    0.0
2281 192071   16.262295517  -61.527534281   -21.7213   6   9   3.9195   2.1958   6.0889  -0.9968  -0.2795  -2.6867   0.00    0.0
2281 192072   16.262296113  -61.527534203   -21.8157   6   9   3.7790   2.1421   5.8838  -0.9774  -0.2701  -2.5510   0.00    0.0
2281 192073   16.262296444  -61.527534099   -21.9137   6   9   3.6463   2.0922   5.6937  -0.9574  -0.2643  -2.4244   0.00    0.0
2281 192074   16.262296655  -61.527534083   -22.0123   6   9   3.5207   2.0457   5.5165  -0.9371  -0.2613  -2.3058   0.00    0.0
2281 192075   16.262296630  -61.527534064   -22.0557   6   9   3.4014   2.0022   5.3508  -0.9167  -0.2602  -2.1942   0.00    0.0
2281 192076   16.262296675  -61.527534082   -22.0915   6   9   3.2880   1.9614   5.1952  -0.8965  -0.2604  -2.0889   0.00    0.0
2281 192077   16.262296607  -61.527534169   -22.1134   6   9   3.1800   1.9229   5.0487  -0.8765  -0.2614  -1.9893   0.00    0.0
2281 192078   16.262296875  -61.527534285   -22.1545   6   9   3.0770   1.8867   4.9103  -0.8568  -0.2628  -1.8949   0.00    0.0
