%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2282 547473   16.262302420  -61.527530410   -27.0255   6   5  18.5926  39.2914  24.7900 -24.1681 -15.3739  11.7527   0.00    0.0
2282 547474   16.262301461  -61.527528037   -27.3593   6   5  13.2427  28.0077  17.7475 -17.1776 -11.0174   8.3623   0.00    0.0
2282 547475   16.262301858  -61.527531039   -27.4558   6   5  10.8410  22.9330  14.5549 -14.0518  -9.0402   6.8441   0.00    0.0
2282 547476   16.262302853  -61.527533564   -27.4192   6   5   9.4022  19.8901  12.6349 -12.1821  -7.8505   5.9357   0.00    0.0
2282 547477   16.262303882  -61.527535632   -27.3889   6   5   8.4178  17.8070  11.3185 -10.9040  -7.0346   5.3147   0.00    0.0
2282 547478   16.262304581  -61.527536357   -27.3938   6   5   7.6900  16.2665  10.3440  -9.9596  -6.4305   4.8559   0.00    0.0
2282 547479   16.262304886  -61.527535676   -27.3229   6   5   7.1239  15.0676   9.5853  -9.2252  -5.9601   4.4991   0.00    0.0
2282 547480   16.262305414  -61.527536083   -27.2487   6   5   6.6673  14.1003   8.9729  -8.6330  -5.5805   4.2115   0.00    0.0
2282 547481   16.262305584  -61.527537049   -27.2063   6   5   6.2889  13.2986   8.4652  -8.1423  -5.2657   3.9732   0.00    0.0
2282 547482   16.262306046  -61.527538488   -27.2000   6   5   5.9687  12.6200   8.0354  -7.7272  -4.9993   3.7717   0.00    0.0
2282 547483   16.262306447  -61.527539284   -27.1651   6   5   5.6931  12.0360   7.6655  -7.3701  -4.7700   3.5983   0.00    0.0
2282 547484   16.262306170  -61.527539483   -26.9003   6   7   5.0234  10.2419   7.2301  -6.2297  -4.1321   3.2871   0.00    0.0
2282 547485   16.262306107  -61.527540061   -26.7641   6   7   4.6317   9.2330   6.8836  -5.5961  -3.7483   3.0911   0.00    0.0
2282 547486   16.262305967  -61.527540332   -26.6999   6   7   4.3322   8.4815   6.5869  -5.1259  -3.4593   2.9389   0.00    0.0
2282 547487   16.262305913  -61.527540937   -26.6660   6   7   4.0914   7.8919   6.3279  -4.7583  -3.2305   2.8139   0.00    0.0
2282 547488   16.262305726  -61.527541281   -26.6410   6   7   3.8913   7.4129   6.0988  -4.4605  -3.0432   2.7077   0.00    0.0
2282 547489   16.262305471  -61.527541497   -26.6804   6   7   3.7208   7.0133   5.8939  -4.2129  -2.8861   2.6152   0.00    0.0
2282 547490   16.262305361  -61.527541626   -26.7044   6   7   3.5729   6.6733   5.7092  -4.0027  -2.7517   2.5332   0.00    0.0
2282 547491   16.262305189  -61.527541356   -26.7081   6   7   3.4428   6.3791   5.5414  -3.8214  -2.6351   2.4597   0.00    0.0
