%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2281 489489   16.262329401  -61.527579032   -16.3990   6  11   1.6151   1.9638   3.0984   0.4689  -1.2956   0.9366   0.00    0.0
2281 489490   16.262329293  -61.527578708   -16.4675   6  11   1.5771   1.9304   3.0442   0.4317  -1.2722   0.9203   0.00    0.0
2281 489491   16.262329046  -61.527578440   -16.5214   6  11   1.5409   1.8983   2.9918   0.3954  -1.2490   0.9055   0.00    0.0
2281 489492   16.262328898  -61.527578141   -16.5863   6  11   1.5063   1.8675   2.9410   0.3598  -1.2259   0.8919   0.00    0.0
2281 489493   16.262326559  -61.527574004   -17.0951   6  15   1.4552   1.7875   2.8559   0.4145  -1.1213   0.8371   0.00    0.0
2281 489494   16.262324938  -61.527570660   -17.4984   6  15   1.4105   1.7214   2.7824   0.4412  -1.0357   0.7952   0.00    0.0
2281 489495   16.262323544  -61.527567845   -17.8372   6  15   1.3692   1.6630   2.7155   0.4573  -0.9594   0.7597   0.00    0.0
2281 489496   16.262322172  -61.527564642   -18.1486   6  16   1.3306   1.6067   2.6539   0.4703  -0.8901   0.7292   0.00    0.0
2281 489497   16.262321134  -61.527562552   -18.4123   6  15   1.2950   1.5598   2.5968   0.4743  -0.8279   0.7032   0.00    0.0
2281 489498   16.262320272  -61.527560740   -18.6470   6  15   1.2616   1.5172   2.5433   0.4752  -0.7707   0.6806   0.00    0.0
2281 489499   16.262319473  -61.527559252   -18.8437   6  15   1.2302   1.4780   2.4931   0.4740  -0.7177   0.6609   0.00    0.0
2281 489500   16.262318745  -61.527558034   -19.0017   6  15   1.2005   1.4420   2.4456   0.4711  -0.6683   0.6435   0.00    0.0
2281 489501   16.262318101  -61.527556949   -19.1540   6  15   1.1724   1.4085   2.4006   0.4670  -0.6219   0.6281   0.00    0.0
2281 489502   16.262317601  -61.527555922   -19.2996   6  15   1.1457   1.3774   2.3577   0.4621  -0.5780   0.6143   0.00    0.0
2281 489503   16.262316976  -61.527555007   -19.4418   6  16   1.1178   1.3484   2.3166   0.4561  -0.5363   0.5999   0.00    0.0
2281 489504   16.262316384  -61.527554174   -19.5694   6  16   1.0919   1.3211   2.2772   0.4497  -0.4963   0.5873   0.00    0.0
2281 489505   16.262315798  -61.527553403   -19.6893   6  16   1.0673   1.2954   2.2394   0.4430  -0.4577   0.5760   0.00    0.0
2281 489506   16.262315193  -61.527552717   -19.7995   6  16   1.0439   1.2712   2.2031   0.4360  -0.4203   0.5657   0.00    0.0
2281 489507   16.262314659  -61.527552069   -19.8988   6  16   1.0217   1.2483   2.1681   0.4289  -0.3835   0.5564   0.00    0.0
2281 489508   16.262314185  -61.527551389   -20.0130   6  16   1.0004   1.2266   2.1343   0.4218  -0.3471   0.5478   0.00    0.0
2281 489509   16.262313822  -61.527550718   -20.1169   6  16   0.9801   1.2059   2.1017   0.4146  -0.3106   0.5399   0.00    0.0
2281 489510   16.262313474  -61.527550115   -20.2096   6  16   0.9606   1.1863   2.0701   0.4074  -0.2734   0.5325   0.00    0.0
2281 489511   16.262313228  -61.527549431   -20.3369   6  16   0.9419   1.1675   2.0395   0.4002  -0.2347   0.5257   0.00    0.0
2281 489512   16.262312921  -61.527548829   -20.4544   6  16   0.9240   1.1496   2.0098   0.3931  -0.1930   0.5192   0.00    0.0
2281 489513   16.262312684  -61.527548215   -20.5810   6  16   0.9067   1.1324   1.9809   0.3861  -0.1450   0.5132   0.00    0.0
2281 489514   16.262312215  -61.527547963   -20.6202   6  18   0.8888   1.1147   1.9474   0.3780   0.0355   0.5083   0.00    0.0
2281 489515   16.262311769  -61.527547745   -20.6619   6  18   0.8718   1.0980   1.9159   0.3702   0.1428   0.5036   0.00    0.0
2281 489516   16.262311395  -61.527547574   -20.7025   6  18   0.8556   1.0820   1.8856   0.3627   0.1933   0.4989   0.00    0.0
2281 489517   16.262311076  -61.527547408   -20.7541   6  18   0.8399   1.0667   1.8565   0.3555   0.2290   0.4942   0.00    0.0
2281 489518   16.262310749  -61.527547318   -20.7897   6  18   0.8249   1.0520   1.8284   0.3485   0.2566   0.4894   0.00    0.0
